cityName,country,lat,lng,temp,humidity,cloudiness,winds
New Norfolk,,-42.78,147.06,62.6,42,0,11.41
Buraydah,,26.33,43.97,84.2,32,0,4.63
Barrow,,-38.31,-60.23,31.09,86,0,3.18
Ricardo Palma,,-11.92,-76.67,55.39,77,8,2.62
Ofaqim,,31.31,34.62,77.8,79,92,6.98
Coquimbo,,-29.95,-71.34,53.6,62,0,10.29
Viedma,,-40.81,-62.99,29.29,82,24,3.06
Busselton,,-33.64,115.35,61.42,98,48,7.76
Punta Arenas,,-53.16,-70.91,39.2,64,90,11.41
Port Elizabeth,,39.31,-74.98,64.2,96,1,5.75
Golden,,51.3,-116.96,42.7,96,68,1.72
Ikongo,,-21.88,47.44,63.13,79,0,3.4
Port Macquarie,,-31.43,152.91,66.2,59,68,13.87
Oranjemund,,-28.55,16.43,55.66,100,76,12.8
Puerto Ayora,,-0.74,-90.35,70.15,100,88,12.46
Awash,,8.99,40.17,66.46,95,80,4.07
Ushuaia,,-54.81,-68.31,42.8,48,75,12.75
Sobolevo,,54.43,31.9,64.66,64,0,12.68
Mataura,,-46.19,168.86,47.11,75,0,14.25
Clarence Town,,-32.59,151.78,68.0,56,75,12.75
Rikitea,,-23.12,-134.97,70.6,100,88,13.8
Torbay,,47.66,-52.73,60.8,87,5,16.11
Yellowknife,,62.45,-114.38,50.0,71,75,3.36
Nome,,30.04,-94.42,80.06,83,1,6.98
Port Alfred,,-33.59,26.89,65.56,75,0,10.56
Bredasdorp,,-34.53,20.04,44.6,93,0,3.36
Hermanus,,-34.42,19.24,47.11,84,8,8.99
Itacoatiara,,-3.14,-58.44,79.96,61,8,6.53
Penzance,,50.12,-5.53,50.0,93,88,10.29
Grand Gaube,,-20.01,57.66,69.8,83,75,3.36
Tuktoyaktuk,,69.44,-133.03,46.4,81,75,6.93
Bluff,,-23.58,149.07,78.52,30,12,10.0
Hoi An,,15.88,108.33,93.2,52,75,3.36
Manokwari,,-0.87,134.08,79.33,100,32,2.62
Vestmannaeyjar,,63.44,-20.27,45.76,98,0,6.2
Sambava,,-14.27,50.17,70.78,100,100,17.72
Kununurra,,-15.77,128.74,89.6,8,0,9.17
Cape Town,,-33.93,18.42,53.6,81,75,13.87
Buchanan,,5.88,-10.05,75.2,94,75,4.7
Jamestown,,-33.21,138.6,60.52,39,0,7.99
Dauphin,,51.15,-100.04,60.8,82,1,9.17
Luderitz,,-26.65,15.16,51.07,97,88,3.96
Hobart,,-42.88,147.33,62.6,42,0,11.41
Santa Isabel,,4.71,-75.1,61.15,95,36,0.72
Guerrero Negro,,27.97,-114.04,68.62,100,0,9.44
Constitucion,,23.99,-104.67,54.22,93,0,2.73
Hilo,,19.71,-155.08,73.94,100,90,4.7
Axim,,4.87,-2.24,76.0,97,92,13.13
Norman Wells,,65.28,-126.83,51.8,76,75,6.93
Leningradskiy,,69.38,178.42,36.85,100,88,15.03
Teguldet,,57.31,88.17,65.02,71,20,3.51
Qaanaaq,,77.48,-69.36,32.62,100,0,6.53
Northam,,51.04,-4.21,46.44,93,88,2.24
Kapaa,,22.08,-159.32,83.88,90,90,19.46
Butaritari,,3.07,172.79,84.46,100,24,4.07
Atuona,,-9.8,-139.03,79.24,100,12,17.83
Codrington,,-28.95,153.24,60.7,77,92,4.74
Coromandel,,-36.76,175.5,57.2,76,36,21.92
Samarai,,-10.62,150.67,76.09,100,92,10.67
Lagoa,,37.14,-8.45,73.4,56,0,4.7
Cayenne,,4.94,-52.33,75.2,100,0,9.1
Provideniya,,64.42,-173.23,47.56,100,88,4.74
Upernavik,,72.79,-56.15,39.01,100,0,7.54
East London,,-33.02,27.91,60.8,72,0,10.29
Aykhal,,65.95,111.51,53.23,79,44,3.96
Vaini,,15.34,74.49,71.86,100,92,7.54
Hofn,,64.25,-15.21,44.86,100,32,6.42
Ponta do Sol,,-20.63,-46.0,59.53,75,36,3.96
Cidreira,,-30.17,-50.22,53.14,91,8,25.1
Airai,,-8.93,125.41,82.12,49,76,0.72
Dombarovskiy,,50.76,59.54,65.29,64,12,15.59
Nikolskoye,,59.7,30.79,60.8,77,0,8.95
Victoria,,5.28,115.24,90.54,66,75,4.7
Kirkuk,,35.47,44.4,97.33,20,0,5.08
Kavaratti,,10.57,72.64,82.57,95,36,14.03
Saskylakh,,71.97,114.09,57.1,78,0,7.99
Hwange,,-18.35,26.5,69.25,42,0,11.56
Saint Anthony,,43.97,-111.68,63.27,31,1,9.17
La Ronge,,55.1,-105.3,44.6,93,90,10.29
Kavieng,,-2.57,150.8,83.02,100,36,3.96
Pasinler,,39.98,41.67,60.8,67,0,4.7
Hambantota,,6.12,81.12,84.37,85,56,18.28
Talnakh,,69.49,88.39,57.82,64,76,4.74
Dzaoudzi,,-12.79,45.27,78.8,69,40,11.41
Mar del Plata,,-46.43,-67.52,43.78,66,0,17.05
Roanoke Rapids,,36.46,-77.65,60.53,100,1,3.62
Sur,,22.57,59.53,86.8,88,20,3.96
Lebu,,8.96,38.73,55.4,100,40,9.17
Dasoguz,,41.84,59.97,72.99,29,0,6.93
Khatanga,,71.98,102.47,62.41,74,0,15.82
